ID,avgKill,special_hit_ratio,oneTapPercentage,precision,ratio of hit when moving,flashEfficiency,avg_TTK,var_TTK,occluderKill,firstHitPrecision,inertialShotPercentage,Var_hit_group,propsStats,BlindKillPercentage,CHPrecision,firstKillRate,avg_delta,var_delta,avg_gamma,var_gamma,avg_t0_t1_duration,var_t0_t1_duration,avg_t1_t2_duration,var_t1_t2_duration,avg_duration,var_duration,avg_speed,var_speed,isCheater
最后一个aWG_g152-v-20230823093733320914080,1.7037037037037035,0.1270718232044199,0.0883977900552486,0.2186629526462395,0.2265193370165746,-0.6623399940722722,62.8421052631579,16551.706766917294,0.037037037037037,0.319672131147541,1.0,0.0210578597481724,0.0496296296296296,0.0,0.2044198895027624,0.1851851851851851,0.2286474499999997,0.1532627133646815,6.29231635,354.39068558738853,0.20390625,0.0086727744654605,0.08359375,0.0167114257812499,0.2875,0.0205951891447368,91.37118776463468,67414.80640005805,1
陳老汉_g151-n-20230727054814111567021,0.5666666666666667,0.3789473684210526,0.0421052631578947,0.1112696148359486,0.0,-0.0008060688877796,134.0,10252.615384615385,0.0166666666666666,0.2368421052631578,1.0,0.0108860846072295,0.0226666666666666,0.0,0.0736842105263157,0.0666666666666666,4.384640411764707,240.6225811463366,4.125009235294117,206.85616079602332,0.2215073529411764,0.0132212919347426,0.4025735294117647,0.3213967715992648,0.6240808823529411,0.3659506405101102,191.34856459254672,124176.37005523466,0
铩羽shark_g152-v-20230815191944681333799,0.631578947368421,0.4166666666666667,0.1458333333333333,0.2146596858638743,0.0,-0.2736354708155677,79.125,16068.783333333333,0.0,0.3214285714285714,0.9166666666666666,0.0204475308641975,0.0094736842105263,0.0,0.1458333333333333,0.1578947368421052,5.187984818181818,182.6228660804072,0.0144908181818184,0.0011989024437636,0.2556818181818182,0.0055797230113636,0.1463068181818181,0.2026500355113636,0.4019886363636363,0.2265181107954545,28.33056114817591,3254.0607441375164,0
百斩虍_g152-n-20230827145314820913256,0.56,0.3134328358208955,0.0149253731343283,0.1900584795321637,0.044776119402985,-0.8781731212852036,266.8333333333333,53504.31884057972,0.0,0.2058823529411764,0.8571428571428571,0.0266385045474672,0.0056,0.0,0.0895522388059701,0.04,0.8170788947368428,4.962075497622877,3.761158263157896,179.90076185812242,0.2483552631578947,0.0085149396929824,0.5542763157894737,0.3007098638523391,0.8026315789473685,0.3485842699195907,67.64580999883346,51422.13351186986,0
看啥呀你_g152-v-20230815012456089455096,0.3043478260869565,0.2987012987012987,0.0259740259740259,0.1301020408163265,0.0,0.2868212653308162,86.25,895.3571428571429,0.0,0.2682926829268293,0.8571428571428571,0.0209183152906096,0.0243478260869565,0.0,0.0909090909090909,0.1304347826086956,8.788985666666667,397.9941006929363,0.1433498333333331,0.2256145268532424,0.1940104166666666,0.0126268791429924,0.1119791666666666,0.0929435961174243,0.3059895833333333,0.0750381007339015,208.76826104831045,219495.14083155117,0
hzfa_g152-n-20230817002852283517656,0.4444444444444444,0.1875,0.0625,0.135593220338983,0.0,0.0,544.6,196267.6,0.0555555555555555,0.217391304347826,1.0,0.0230275848765432,0.0,0.0,0.03125,0.0,3.398504714285714,62.90675106920222,0.4145545714285714,0.4893793147076182,0.1785714285714285,0.0139043898809523,0.2522321428571428,0.1766299293154762,0.4308035714285714,0.2407110305059524,172.27870367842533,134245.45120682425,0
Tuski^^_g151-c-20230724211944613728054,0.6551724137931034,0.1978021978021978,0.0989010989010989,0.1641791044776119,0.0549450549450549,0.4112754571345365,119.1923076923077,38516.88153846153,0.0172413793103448,0.2608695652173913,0.9473684210526316,0.012248774153536,0.0537931034482758,0.0,0.1428571428571428,0.0344827586206896,20.38815853846154,1054.4338642953044,0.3356913076923066,0.5618326519217313,0.141826923076923,0.0112899389022435,0.079326923076923,0.0194279597355769,0.2211538461538461,0.0225767477964743,541.3531529382747,552425.2212258034,0
Rose122_g151-n-20230728005628209454901,0.375,0.4098360655737705,0.0491803278688524,0.2129963898916967,0.0,1.0,389.8333333333333,159879.60606060608,0.0,0.1714285714285714,1.0,0.0143197932322719,0.0066666666666666,0.1111111111111111,0.0491803278688524,0.0833333333333333,8.672959124999998,471.2601354551376,11.725520125000005,593.7328593403978,0.2705078125,0.0064687093098958,0.388671875,0.18502197265625,0.6591796875,0.1759836832682291,82.64407023231071,60726.71577886876,0
在冬季与茹热恋_g151-n-20230726150056036941949,0.1304347826086956,0.25,0.0,0.0443037974683544,0.0,0.0,103.0,2465.333333333333,0.0,0.0,0.6666666666666666,0.0223765432098765,0.0,0.0,0.0,0.0,17.61077375,1179.6858857444647,19.3053175,1419.5661789792164,0.26171875,0.01031494140625,0.79296875,0.2072550455729166,1.0546875,0.267822265625,139.7243546821463,23321.67823927927,0
アスカのlanka_g152-v-20230819235725220710537,1.1851851851851851,0.3481481481481481,0.0592592592592592,0.2040133779264214,0.3111111111111111,-0.5610696107812307,224.17241379310343,113141.79431336962,0.0185185185185185,0.1724137931034483,1.0,0.0180338363054412,0.0229629629629629,0.0,0.1407407407407407,0.1111111111111111,14.608406633333336,689.7332063124629,9.512958133333331,562.9620154922425,0.1942708333333333,0.0128415162535919,0.3458333333333333,0.1923783225574713,0.5401041666666667,0.2153603740122126,346.0622202987525,323197.3121588665,0
kunkun别割我腰子_g151-n-20230815164601229241932,0.4,0.2898550724637681,0.0,0.0323367907260524,0.0434782608695652,-0.383060973070314,145.11111111111111,6757.11111111111,0.0,0.0476190476190476,0.875,0.0096151602137739,0.02,0.0,0.0289855072463768,0.0,1.066730428571429,3.964939130659957,3.0431534285714283,40.59742013947794,0.1049107142857142,0.0151134672619047,0.5870535714285714,0.4311407180059524,0.6919642857142857,0.4996512276785714,44.123347142133056,3580.3641191506576,0
宝林的牛666_g152-n-20230815223805794587677,0.2631578947368421,0.4615384615384615,0.3076923076923077,0.052,0.0769230769230769,0.0,37.5,686.5714285714286,0.0,0.1379310344827586,1.0,0.0172401198042223,0.0,0.0,0.2307692307692307,0.1052631578947368,10.465259625000002,840.8201455718074,9.599439625,582.9001624276844,0.169921875,0.0165623256138392,0.103515625,0.0187595912388392,0.2734375,0.0431082589285714,135.18983578604488,121915.47965440588,0
